Timestamp,Milliseconds,X,Y,Z
2019-05-13 08:45:26,9101,22.1,-14.2,-37.100002
2019-05-13 08:45:26,9201,22.4,-15.3,-36.7
2019-05-13 08:45:26,9302,22.0,-16.0,-36.9
2019-05-13 08:45:27,9401,21.5,-14.7,-37.3
2019-05-13 08:45:27,9501,20.800001,-12.400001,-38.7
2019-05-13 08:45:27,9602,20.7,-10.900001,-39.5
2019-05-13 08:45:27,9701,21.0,-10.5,-40.0
2019-05-13 08:45:27,9801,21.7,-11.0,-39.5
2019-05-13 08:45:27,9901,22.1,-11.0,-39.4
2019-05-13 08:45:27,10002,22.0,-12.2,-39.4
2019-05-13 08:45:27,10101,19.5,-17.7,-39.0
2019-05-13 08:45:27,10201,17.6,-19.0,-39.2
2019-05-13 08:45:27,10301,14.400001,-17.800001,-40.0
2019-05-13 08:45:28,10401,14.8,-11.1,-39.9
2019-05-13 08:45:28,10502,15.0,-9.2,-38.4
2019-05-13 08:45:28,10602,15.6,-8.3,-39.600002
2019-05-13 08:45:28,10701,17.4,0.5,-37.7
2019-05-13 08:45:28,10801,16.1,7.8,-36.600002
2019-05-13 08:45:28,10901,18.0,8.6,-35.7
2019-05-13 08:45:28,11002,18.4,9.1,-35.8
2019-05-13 08:45:28,11101,21.300001,10.400001,-34.2
2019-05-13 08:45:28,11201,22.5,11.400001,-33.5
2019-05-13 08:45:28,11301,23.800001,12.6,-32.7
2019-05-13 08:45:29,11402,24.800001,13.1,-31.9
2019-05-13 08:45:29,11502,25.0,13.7,-31.6
2019-05-13 08:45:29,11602,23.7,14.3,-31.800001
2019-05-13 08:45:29,11701,21.800001,13.7,-32.9
2019-05-13 08:45:29,11802,21.1,12.2,-33.9
2019-05-13 08:45:29,11901,21.6,11.400001,-34.0
2019-05-13 08:45:29,12002,22.300001,12.1,-33.4
2019-05-13 08:45:29,12101,22.6,13.0,-32.8
2019-05-13 08:45:29,12201,22.5,12.900001,-32.8
2019-05-13 08:45:29,12301,23.4,9.6,-33.0
2019-05-13 08:45:30,12401,25.0,5.5,-33.0
2019-05-13 08:45:30,12501,25.6,2.1000001,-33.8
2019-05-13 08:45:30,12602,25.2,-5.1,-34.9
2019-05-13 08:45:30,12701,22.9,-9.7,-36.100002
2019-05-13 08:45:30,12801,20.9,-10.900001,-36.9
2019-05-13 08:45:30,12901,20.7,-11.900001,-36.9
2019-05-13 08:45:30,13001,20.300001,-12.1,-37.2
2019-05-13 08:45:30,13102,21.1,-11.6,-36.9
2019-05-13 08:45:30,13201,22.2,-11.3,-36.9
2019-05-13 08:45:30,13301,23.300001,-11.400001,-36.2
2019-05-13 08:45:31,13401,24.6,-11.6,-35.7
2019-05-13 08:45:31,13501,25.2,-12.5,-35.2
2019-05-13 08:45:31,13601,25.1,-13.1,-35.4
2019-05-13 08:45:31,13701,24.7,-13.8,-35.4
2019-05-13 08:45:31,13801,23.6,-13.8,-35.9
2019-05-13 08:45:31,13902,22.5,-13.6,-36.100002
2019-05-13 08:45:31,14001,21.4,-13.3,-36.600002
2019-05-13 08:45:31,14101,21.2,-12.5,-36.600002
2019-05-13 08:45:31,14202,21.1,-12.0,-36.8
2019-05-13 08:45:31,14302,21.2,-13.3,-36.4
2019-05-13 08:45:32,14401,22.2,-15.3,-35.7
2019-05-13 08:45:32,14503,24.4,-13.900001,-35.2
2019-05-13 08:45:32,14602,30.0,-13.5,-31.7
2019-05-13 08:45:32,14701,31.9,-14.400001,-31.300001
2019-05-13 08:45:32,14802,33.3,-15.6,-31.2
2019-05-13 08:45:32,14901,30.300001,-17.9,-33.5
2019-05-13 08:45:32,15001,21.300001,-18.9,-38.600002
2019-05-13 08:45:32,15102,15.7,-20.0,-37.3
2019-05-13 08:45:32,15201,17.300001,-21.2,-36.8
2019-05-13 08:45:32,15301,22.0,-23.800001,-35.4
2019-05-13 08:45:33,15402,30.9,-17.300001,-33.9
2019-05-13 08:45:33,15501,37.9,-16.6,-28.0
2019-05-13 08:45:33,15601,39.3,-16.0,-27.1
2019-05-13 08:45:33,15701,37.0,-14.6,-28.9
2019-05-13 08:45:33,15802,33.2,-12.3,-33.2
2019-05-13 08:45:33,15901,30.1,-9.5,-35.5
2019-05-13 08:45:33,16001,27.4,-5.8,-36.600002
2019-05-13 08:45:33,16101,16.2,0.7,-39.9
2019-05-13 08:45:33,16202,12.0,7.7000003,-41.100002
2019-05-13 08:45:33,16301,12.6,-0.90000004,-42.5
2019-05-13 08:45:34,16401,13.7,-3.6000001,-41.9
2019-05-13 08:45:34,16502,17.4,-7.5,-40.3
2019-05-13 08:45:34,16601,17.7,-10.400001,-39.4
2019-05-13 08:45:34,16701,19.5,-12.0,-39.5
2019-05-13 08:45:34,16801,20.4,-13.0,-38.8
2019-05-13 08:45:34,16902,21.5,-13.6,-39.3
2019-05-13 08:45:34,17001,21.300001,-14.1,-39.8
2019-05-13 08:45:34,17101,20.7,-15.5,-39.9
2019-05-13 08:45:34,17201,20.0,-17.1,-39.600002
2019-05-13 08:45:34,17302,19.5,-18.300001,-39.2
2019-05-13 08:45:35,17401,19.1,-17.9,-39.2
2019-05-13 08:45:35,17501,19.1,-17.0,-39.5
2019-05-13 08:45:35,17602,19.6,-15.900001,-39.5
2019-05-13 08:45:35,17701,20.300001,-15.8,-38.8
2019-05-13 08:45:35,17801,21.1,-16.300001,-37.7
2019-05-13 08:45:35,17901,21.1,-16.9,-37.5
2019-05-13 08:45:35,18001,20.2,-17.300001,-38.3
2019-05-13 08:45:35,18101,18.800001,-16.9,-39.4
2019-05-13 08:45:35,18201,17.5,-16.2,-40.2
2019-05-13 08:45:35,18302,17.300001,-15.7,-40.5
2019-05-13 08:45:36,18401,17.7,-15.900001,-40.5
2019-05-13 08:45:36,18501,18.6,-15.6,-40.3
2019-05-13 08:45:36,18601,19.2,-15.1,-40.100002
2019-05-13 08:45:36,18702,20.0,-14.3,-40.100002
2019-05-13 08:45:36,18801,20.9,-13.900001,-39.8
2019-05-13 08:45:36,18901,20.6,-13.900001,-39.7
2019-05-13 08:45:36,19002,19.300001,-14.400001,-39.7
2019-05-13 08:45:36,19101,17.7,-15.0,-40.0
2019-05-13 08:45:36,19201,30.1,-14.6,-34.4
2019-05-13 08:45:36,19301,38.0,-15.7,-28.2
2019-05-13 08:45:37,19402,35.100002,-15.2,-30.4
2019-05-13 08:45:37,19501,34.100002,-15.2,-32.0
2019-05-13 08:45:37,19602,22.2,-16.0,-39.100002
2019-05-13 08:45:37,19701,21.0,-17.1,-39.8
2019-05-13 08:45:37,19801,21.0,-17.0,-39.3
2019-05-13 08:45:37,19902,20.2,-17.5,-39.0
2019-05-13 08:45:37,20001,21.6,-18.5,-37.600002
2019-05-13 08:45:37,20101,23.0,-19.4,-36.600002
2019-05-13 08:45:37,20202,24.300001,-20.6,-36.2
2019-05-13 08:45:37,20301,24.800001,-20.300001,-36.4
2019-05-13 08:45:38,20401,25.1,-18.9,-36.8
2019-05-13 08:45:38,20501,23.7,-17.6,-37.0
2019-05-13 08:45:38,20601,19.4,-13.6,-37.5
2019-05-13 08:45:38,20701,20.300001,7.0,-36.4
2019-05-13 08:45:38,20801,23.4,4.9,-36.100002
2019-05-13 08:45:38,20901,22.5,0.1,-36.600002
2019-05-13 08:45:38,21001,21.800001,-0.4,-37.4
2019-05-13 08:45:38,21102,22.2,-1.9,-37.5
2019-05-13 08:45:38,21201,22.9,-8.5,-37.3
2019-05-13 08:45:38,21301,23.6,-12.3,-36.8
2019-05-13 08:45:39,21401,24.1,-13.0,-36.4
2019-05-13 08:45:39,21501,24.0,-14.2,-36.0
2019-05-13 08:45:39,21602,23.4,-14.1,-35.9
2019-05-13 08:45:39,21701,22.0,-14.5,-36.2
2019-05-13 08:45:39,21801,21.0,-15.6,-36.3
2019-05-13 08:45:39,21901,19.6,-15.3,-37.2
2019-05-13 08:45:39,22001,18.9,-9.8,-37.9
2019-05-13 08:45:39,22102,20.4,-8.2,-38.0
2019-05-13 08:45:39,22201,21.5,-6.3,-37.3
2019-05-13 08:45:39,22301,23.0,-5.1,-36.9
2019-05-13 08:45:40,22402,24.5,-4.9,-36.3
2019-05-13 08:45:40,22501,24.800001,-6.0,-36.4
2019-05-13 08:45:40,22601,25.0,-7.9,-36.3
2019-05-13 08:45:40,22701,25.6,-10.3,-36.100002
2019-05-13 08:45:40,22801,25.9,-11.8,-36.0
2019-05-13 08:45:40,22901,25.5,-11.5,-36.2
2019-05-13 08:45:40,23001,21.2,-3.4,-37.9
2019-05-13 08:45:40,23101,19.9,-1.9,-37.9
2019-05-13 08:45:40,23202,20.2,-1.7,-38.2
2019-05-13 08:45:40,23301,20.6,-1.7,-38.5
2019-05-13 08:45:41,23401,21.7,-3.6000001,-38.100002
2019-05-13 08:45:41,23501,22.9,-4.6,-37.600002
2019-05-13 08:45:41,23601,23.300001,-4.4,-37.2
2019-05-13 08:45:41,23702,23.800001,-4.3,-37.2
2019-05-13 08:45:41,23801,24.300001,-5.1,-36.8
2019-05-13 08:45:41,23901,24.5,-8.0,-36.5
2019-05-13 08:45:41,24001,23.7,-9.400001,-36.9
2019-05-13 08:45:41,24101,19.2,0.6,-37.8
2019-05-13 08:45:41,24202,17.300001,4.1,-38.4
2019-05-13 08:45:41,24301,18.4,3.6000001,-37.9
2019-05-13 08:45:42,24401,18.1,4.7000003,-38.4
2019-05-13 08:45:42,24501,18.9,3.4,-38.100002
2019-05-13 08:45:42,24601,19.4,3.1000001,-37.8
2019-05-13 08:45:42,24702,19.9,3.3,-38.0
2019-05-13 08:45:42,24801,20.800001,2.5,-38.0
2019-05-13 08:45:42,24901,21.300001,-1.8000001,-40.5
2019-05-13 08:45:42,25001,21.7,-5.3,-40.100002
2019-05-13 08:45:42,25101,20.9,-6.2000003,-41.3
2019-05-13 08:45:42,25201,19.800001,-6.2000003,-40.8
2019-05-13 08:45:42,25301,17.9,-0.8,-39.9
2019-05-13 08:45:43,25401,17.800001,-0.6,-39.600002
2019-05-13 08:45:43,25501,18.800001,-0.3,-39.3
2019-05-13 08:45:43,25601,20.5,-1.9,-39.0
2019-05-13 08:45:43,25701,21.7,-2.7,-39.100002
2019-05-13 08:45:43,25801,21.6,-2.7,-40.0
2019-05-13 08:45:43,25901,21.300001,-2.5,-40.2
2019-05-13 08:45:43,26001,21.9,-5.3,-39.5
2019-05-13 08:45:43,26101,24.1,-8.5,-37.5
2019-05-13 08:45:43,26201,24.7,-9.2,-37.600002
2019-05-13 08:45:43,26302,26.1,-9.0,-37.0
2019-05-13 08:45:44,26401,26.300001,-7.3,-36.9
2019-05-13 08:45:44,26501,26.4,-5.7000003,-36.8
2019-05-13 08:45:44,26601,26.1,-4.3,-36.8
2019-05-13 08:45:44,26701,26.2,-3.3,-36.7
2019-05-13 08:45:44,26801,26.1,-2.8,-36.4
2019-05-13 08:45:44,26901,26.5,-3.6000001,-36.0
2019-05-13 08:45:44,27001,27.4,-7.2000003,-35.0
2019-05-13 08:45:44,27102,27.300001,-10.8,-34.3
2019-05-13 08:45:44,27201,26.1,-13.5,-35.100002
2019-05-13 08:45:44,27301,24.300001,-15.8,-35.600002
2019-05-13 08:45:45,27402,22.4,-18.0,-36.0
2019-05-13 08:45:45,27501,21.2,-19.9,-35.9
2019-05-13 08:45:45,27601,20.5,-20.300001,-35.600002
2019-05-13 08:45:45,27701,20.6,-19.300001,-36.2
2019-05-13 08:45:45,27801,20.5,-17.0,-37.0
2019-05-13 08:45:45,27902,20.4,-14.7,-37.7
2019-05-13 08:45:45,28001,20.2,-12.8,-37.9
2019-05-13 08:45:45,28101,20.4,-11.1,-37.9
2019-05-13 08:45:45,28201,20.7,-9.8,-37.8
2019-05-13 08:45:45,28302,21.0,-9.1,-37.5
2019-05-13 08:45:46,28401,21.4,-9.900001,-37.3
2019-05-13 08:45:46,28501,21.6,-11.3,-37.0
2019-05-13 08:45:46,28601,21.300001,-11.900001,-37.2
2019-05-13 08:45:46,28702,19.4,-7.5,-38.600002
2019-05-13 08:45:46,28801,18.9,-6.5,-38.600002
2019-05-13 08:45:46,28901,18.4,-5.0,-39.0
2019-05-13 08:45:46,29001,18.7,-4.8,-38.9
2019-05-13 08:45:46,29101,18.800001,-4.9,-38.8
2019-05-13 08:45:46,29202,18.800001,-5.0,-38.7
2019-05-13 08:45:46,29301,18.6,-5.1,-38.600002
2019-05-13 08:45:47,29401,18.7,-5.7000003,-38.5
2019-05-13 08:45:47,29501,19.300001,-6.4,-38.3
2019-05-13 08:45:47,29601,20.1,-7.6,-37.9
2019-05-13 08:45:47,29702,20.1,-7.9,-38.0
2019-05-13 08:45:47,29801,18.800001,-6.3,-38.3
2019-05-13 08:45:47,29901,17.300001,-4.2000003,-38.9
2019-05-13 08:45:47,30001,16.6,-3.1000001,-39.100002
2019-05-13 08:45:47,30101,16.6,-3.0,-39.3
2019-05-13 08:45:47,30202,17.5,-3.0,-38.8
2019-05-13 08:45:47,30301,18.6,-2.1000001,-38.7
2019-05-13 08:45:48,30401,19.800001,-1.2,-38.4
2019-05-13 08:45:48,30501,21.0,-1.4,-38.3
2019-05-13 08:45:48,30602,22.0,-2.7,-38.4
2019-05-13 08:45:48,30701,22.7,-4.8,-38.3
2019-05-13 08:45:48,30801,22.6,-5.6,-38.600002
2019-05-13 08:45:48,30901,22.0,-5.3,-38.7
2019-05-13 08:45:48,31001,20.2,-1.1,-38.7
2019-05-13 08:45:48,31102,20.0,-0.6,-38.9
2019-05-13 08:45:48,31201,20.2,0.3,-38.7
2019-05-13 08:45:48,31301,21.1,-0.2,-38.4
2019-05-13 08:45:49,31401,22.0,-0.4,-38.100002
2019-05-13 08:45:49,31502,23.2,-1.1,-37.7
