Timestamp,Milliseconds,centimeters
2019-05-13 08:45:17,1,8.0
2019-05-13 08:45:17,101,8.0
2019-05-13 08:45:17,201,8.0
2019-05-13 08:45:17,301,8.0
2019-05-13 08:45:18,401,8.0
2019-05-13 08:45:18,501,8.0
2019-05-13 08:45:18,602,8.0
2019-05-13 08:45:18,701,8.0
2019-05-13 08:45:18,801,8.0
2019-05-13 08:45:18,902,8.0
2019-05-13 08:45:18,1001,8.0
2019-05-13 08:45:18,1102,8.0
2019-05-13 08:45:18,1201,8.0
2019-05-13 08:45:18,1301,8.0
2019-05-13 08:45:19,1401,8.0
2019-05-13 08:45:19,1502,8.0
2019-05-13 08:45:19,1601,8.0
2019-05-13 08:45:19,1701,8.0
2019-05-13 08:45:19,1802,8.0
2019-05-13 08:45:19,1901,8.0
2019-05-13 08:45:19,2001,8.0
2019-05-13 08:45:19,2102,8.0
2019-05-13 08:45:19,2201,8.0
2019-05-13 08:45:19,2301,8.0
2019-05-13 08:45:20,2401,8.0
2019-05-13 08:45:20,2502,8.0
2019-05-13 08:45:20,2601,8.0
2019-05-13 08:45:20,2701,8.0
2019-05-13 08:45:20,2802,8.0
2019-05-13 08:45:20,2901,8.0
2019-05-13 08:45:20,3001,8.0
2019-05-13 08:45:20,3101,8.0
2019-05-13 08:45:20,3201,8.0
2019-05-13 08:45:20,3301,8.0
2019-05-13 08:45:21,3405,8.0
2019-05-13 08:45:21,3501,8.0
2019-05-13 08:45:21,3601,8.0
2019-05-13 08:45:21,3701,8.0
2019-05-13 08:45:21,3802,8.0
2019-05-13 08:45:21,3901,8.0
2019-05-13 08:45:21,4002,8.0
2019-05-13 08:45:21,4101,8.0
2019-05-13 08:45:21,4202,8.0
2019-05-13 08:45:21,4301,8.0
2019-05-13 08:45:22,4403,8.0
2019-05-13 08:45:22,4502,8.0
2019-05-13 08:45:22,4601,8.0
2019-05-13 08:45:22,4701,8.0
2019-05-13 08:45:22,4801,8.0
2019-05-13 08:45:22,4902,8.0
2019-05-13 08:45:22,5001,8.0
2019-05-13 08:45:22,5102,8.0
2019-05-13 08:45:22,5201,8.0
2019-05-13 08:45:22,5301,8.0
2019-05-13 08:45:23,5401,8.0
2019-05-13 08:45:23,5501,8.0
2019-05-13 08:45:23,5601,8.0
2019-05-13 08:45:23,5701,8.0
2019-05-13 08:45:23,5802,8.0
2019-05-13 08:45:23,5901,8.0
2019-05-13 08:45:23,6001,8.0
2019-05-13 08:45:23,6101,8.0
2019-05-13 08:45:23,6201,8.0
2019-05-13 08:45:23,6301,8.0
2019-05-13 08:45:24,6402,8.0
2019-05-13 08:45:24,6501,8.0
2019-05-13 08:45:24,6601,8.0
2019-05-13 08:45:24,6702,8.0
2019-05-13 08:45:24,6801,8.0
2019-05-13 08:45:24,6901,8.0
2019-05-13 08:45:24,7001,8.0
2019-05-13 08:45:24,7102,8.0
2019-05-13 08:45:24,7201,8.0
2019-05-13 08:45:24,7301,8.0
2019-05-13 08:45:25,7402,8.0
2019-05-13 08:45:25,7501,8.0
2019-05-13 08:45:25,7601,8.0
2019-05-13 08:45:25,7701,8.0
2019-05-13 08:45:25,7802,8.0
2019-05-13 08:45:25,7901,8.0
2019-05-13 08:45:25,8001,8.0
2019-05-13 08:45:25,8101,8.0
2019-05-13 08:45:25,8201,8.0
2019-05-13 08:45:25,8301,8.0
2019-05-13 08:45:26,8401,8.0
2019-05-13 08:45:26,8501,8.0
2019-05-13 08:45:26,8602,8.0
2019-05-13 08:45:26,8701,8.0
2019-05-13 08:45:26,8801,8.0
2019-05-13 08:45:26,8901,8.0
2019-05-13 08:45:26,9002,8.0
2019-05-13 08:45:26,9101,8.0
2019-05-13 08:45:26,9201,8.0
2019-05-13 08:45:26,9301,8.0
2019-05-13 08:45:27,9402,8.0
2019-05-13 08:45:27,9501,8.0
2019-05-13 08:45:27,9601,8.0
2019-05-13 08:45:27,9701,8.0
2019-05-13 08:45:27,9801,8.0
2019-05-13 08:45:27,9901,8.0
2019-05-13 08:45:27,10001,8.0
2019-05-13 08:45:27,10101,8.0
2019-05-13 08:45:27,10201,8.0
2019-05-13 08:45:27,10302,8.0
2019-05-13 08:45:28,10401,8.0
2019-05-13 08:45:28,10502,8.0
2019-05-13 08:45:28,10601,8.0
2019-05-13 08:45:28,10701,8.0
2019-05-13 08:45:28,10802,8.0
2019-05-13 08:45:28,10902,8.0
2019-05-13 08:45:28,11001,8.0
2019-05-13 08:45:28,11101,8.0
2019-05-13 08:45:28,11201,8.0
2019-05-13 08:45:28,11302,8.0
2019-05-13 08:45:29,11401,8.0
2019-05-13 08:45:29,11501,8.0
2019-05-13 08:45:29,11601,8.0
2019-05-13 08:45:29,11702,8.0
2019-05-13 08:45:29,11801,8.0
2019-05-13 08:45:29,11901,8.0
2019-05-13 08:45:29,12002,8.0
2019-05-13 08:45:29,12102,8.0
2019-05-13 08:45:29,12201,8.0
2019-05-13 08:45:29,12301,8.0
2019-05-13 08:45:30,12401,8.0
2019-05-13 08:45:30,12502,8.0
2019-05-13 08:45:30,12601,8.0
2019-05-13 08:45:30,12701,8.0
2019-05-13 08:45:30,12801,8.0
2019-05-13 08:45:30,12901,8.0
2019-05-13 08:45:30,13001,8.0
2019-05-13 08:45:30,13101,8.0
2019-05-13 08:45:30,13201,8.0
2019-05-13 08:45:30,13302,8.0
2019-05-13 08:45:31,13401,8.0
2019-05-13 08:45:31,13501,8.0
2019-05-13 08:45:31,13601,8.0
2019-05-13 08:45:31,13701,8.0
2019-05-13 08:45:31,13801,8.0
2019-05-13 08:45:31,13902,8.0
2019-05-13 08:45:31,14001,8.0
2019-05-13 08:45:31,14101,8.0
2019-05-13 08:45:31,14201,8.0
2019-05-13 08:45:31,14302,8.0
2019-05-13 08:45:32,14401,8.0
2019-05-13 08:45:32,14502,8.0
2019-05-13 08:45:32,14601,8.0
2019-05-13 08:45:32,14701,8.0
2019-05-13 08:45:32,14801,8.0
2019-05-13 08:45:32,14902,8.0
2019-05-13 08:45:32,15001,8.0
2019-05-13 08:45:32,15101,8.0
2019-05-13 08:45:32,15202,8.0
2019-05-13 08:45:32,15301,8.0
2019-05-13 08:45:33,15401,0.0
2019-05-13 08:45:33,15502,8.0
2019-05-13 08:45:33,15601,8.0
2019-05-13 08:45:33,15701,8.0
2019-05-13 08:45:33,15802,8.0
2019-05-13 08:45:33,15901,8.0
2019-05-13 08:45:33,16001,8.0
2019-05-13 08:45:33,16101,8.0
2019-05-13 08:45:33,16201,8.0
2019-05-13 08:45:33,16302,8.0
2019-05-13 08:45:34,16401,8.0
2019-05-13 08:45:34,16501,8.0
2019-05-13 08:45:34,16602,8.0
2019-05-13 08:45:34,16701,8.0
2019-05-13 08:45:34,16801,8.0
2019-05-13 08:45:34,16902,8.0
2019-05-13 08:45:34,17001,8.0
2019-05-13 08:45:34,17101,8.0
2019-05-13 08:45:34,17201,8.0
2019-05-13 08:45:34,17302,8.0
2019-05-13 08:45:35,17401,8.0
2019-05-13 08:45:35,17502,8.0
2019-05-13 08:45:35,17601,8.0
2019-05-13 08:45:35,17701,8.0
2019-05-13 08:45:35,17801,8.0
2019-05-13 08:45:35,17902,8.0
2019-05-13 08:45:35,18001,8.0
2019-05-13 08:45:35,18101,8.0
2019-05-13 08:45:35,18202,8.0
2019-05-13 08:45:35,18301,8.0
2019-05-13 08:45:36,18401,8.0
2019-05-13 08:45:36,18502,8.0
2019-05-13 08:45:36,18601,8.0
2019-05-13 08:45:36,18701,8.0
2019-05-13 08:45:36,18802,8.0
2019-05-13 08:45:36,18901,8.0
2019-05-13 08:45:36,19001,8.0
2019-05-13 08:45:36,19101,8.0
2019-05-13 08:45:36,19201,8.0
2019-05-13 08:45:36,19301,8.0
2019-05-13 08:45:37,19401,8.0
2019-05-13 08:45:37,19502,8.0
2019-05-13 08:45:37,19601,8.0
2019-05-13 08:45:37,19702,8.0
2019-05-13 08:45:37,19802,8.0
2019-05-13 08:45:37,19901,8.0
2019-05-13 08:45:37,20001,8.0
2019-05-13 08:45:37,20102,8.0
2019-05-13 08:45:37,20201,8.0
2019-05-13 08:45:37,20301,8.0
2019-05-13 08:45:38,20402,8.0
2019-05-13 08:45:38,20501,8.0
2019-05-13 08:45:38,20601,8.0
2019-05-13 08:45:38,20701,8.0
2019-05-13 08:45:38,20802,8.0
2019-05-13 08:45:38,20901,8.0
2019-05-13 08:45:38,21001,8.0
2019-05-13 08:45:38,21101,8.0
2019-05-13 08:45:38,21202,8.0
2019-05-13 08:45:38,21301,8.0
2019-05-13 08:45:39,21401,8.0
2019-05-13 08:45:39,21501,8.0
2019-05-13 08:45:39,21601,8.0
2019-05-13 08:45:39,21702,8.0
2019-05-13 08:45:39,21801,8.0
2019-05-13 08:45:39,21901,8.0
2019-05-13 08:45:39,22001,8.0
2019-05-13 08:45:39,22102,8.0
2019-05-13 08:45:39,22201,8.0
2019-05-13 08:45:39,22301,8.0
2019-05-13 08:45:40,22401,8.0
2019-05-13 08:45:40,22502,8.0
2019-05-13 08:45:40,22601,8.0
2019-05-13 08:45:40,22701,8.0
2019-05-13 08:45:40,22802,8.0
2019-05-13 08:45:40,22901,8.0
2019-05-13 08:45:40,23001,8.0
2019-05-13 08:45:40,23101,8.0
2019-05-13 08:45:40,23202,8.0
2019-05-13 08:45:40,23301,8.0
2019-05-13 08:45:41,23401,8.0
2019-05-13 08:45:41,23501,8.0
2019-05-13 08:45:41,23601,8.0
2019-05-13 08:45:41,23701,8.0
2019-05-13 08:45:41,23802,8.0
2019-05-13 08:45:41,23901,8.0
2019-05-13 08:45:41,24001,8.0
2019-05-13 08:45:41,24101,8.0
2019-05-13 08:45:41,24202,8.0
2019-05-13 08:45:41,24301,8.0
2019-05-13 08:45:42,24401,8.0
2019-05-13 08:45:42,24501,8.0
2019-05-13 08:45:42,24602,8.0
2019-05-13 08:45:42,24701,8.0
2019-05-13 08:45:42,24801,8.0
2019-05-13 08:45:42,24901,8.0
2019-05-13 08:45:42,25001,8.0
2019-05-13 08:45:42,25101,8.0
2019-05-13 08:45:42,25202,8.0
2019-05-13 08:45:42,25301,8.0
2019-05-13 08:45:43,25401,8.0
2019-05-13 08:45:43,25501,8.0
2019-05-13 08:45:43,25602,8.0
2019-05-13 08:45:43,25701,8.0
2019-05-13 08:45:43,25801,8.0
2019-05-13 08:45:43,25901,8.0
2019-05-13 08:45:43,26001,8.0
2019-05-13 08:45:43,26101,8.0
2019-05-13 08:45:43,26202,8.0
2019-05-13 08:45:43,26301,8.0
2019-05-13 08:45:44,26401,8.0
2019-05-13 08:45:44,26501,8.0
2019-05-13 08:45:44,26601,8.0
2019-05-13 08:45:44,26701,8.0
2019-05-13 08:45:44,26801,8.0
2019-05-13 08:45:44,26901,8.0
2019-05-13 08:45:44,27003,8.0
2019-05-13 08:45:44,27101,8.0
2019-05-13 08:45:44,27201,8.0
2019-05-13 08:45:44,27302,8.0
2019-05-13 08:45:45,27401,8.0
2019-05-13 08:45:45,27501,8.0
2019-05-13 08:45:45,27601,8.0
2019-05-13 08:45:45,27702,8.0
2019-05-13 08:45:45,27801,8.0
2019-05-13 08:45:45,27901,8.0
2019-05-13 08:45:45,28001,8.0
