Timestamp,Milliseconds,Illuminance
2019-05-13 08:45:17,2,8736.0
2019-05-13 08:45:17,101,8981.0
2019-05-13 08:45:17,201,9561.0
2019-05-13 08:45:17,302,9561.0
2019-05-13 08:45:18,402,9713.0
2019-05-13 08:45:18,501,9713.0
2019-05-13 08:45:18,601,9336.0
2019-05-13 08:45:18,703,9336.0
2019-05-13 08:45:18,801,8757.0
2019-05-13 08:45:18,901,8401.0
2019-05-13 08:45:18,1001,8401.0
2019-05-13 08:45:18,1101,24607.0
2019-05-13 08:45:18,1202,24607.0
2019-05-13 08:45:18,1301,9906.0
2019-05-13 08:45:19,1401,9906.0
2019-05-13 08:45:19,1501,13609.0
2019-05-13 08:45:19,1601,13609.0
2019-05-13 08:45:19,1701,9821.0
2019-05-13 08:45:19,1801,9975.0
2019-05-13 08:45:19,1902,9975.0
2019-05-13 08:45:19,2001,37365.0
2019-05-13 08:45:19,2101,37365.0
2019-05-13 08:45:19,2201,42114.0
2019-05-13 08:45:19,2301,42114.0
2019-05-13 08:45:20,2402,29149.0
2019-05-13 08:45:20,2501,29149.0
2019-05-13 08:45:20,2601,8020.0
2019-05-13 08:45:20,2702,8020.0
2019-05-13 08:45:20,2801,9035.0
2019-05-13 08:45:20,2901,24031.0
2019-05-13 08:45:20,3001,24031.0
2019-05-13 08:45:20,3101,39395.0
2019-05-13 08:45:20,3201,39395.0
2019-05-13 08:45:20,3302,51857.0
2019-05-13 08:45:21,3401,51857.0
2019-05-13 08:45:21,3501,15310.0
2019-05-13 08:45:21,3601,15807.0
2019-05-13 08:45:21,3701,15807.0
2019-05-13 08:45:21,3801,7847.0
2019-05-13 08:45:21,3901,7847.0
2019-05-13 08:45:21,4001,7133.0
2019-05-13 08:45:21,4102,7133.0
2019-05-13 08:45:21,4201,5883.0
2019-05-13 08:45:21,4301,5883.0
2019-05-13 08:45:22,4401,5906.0
2019-05-13 08:45:22,4501,8178.0
2019-05-13 08:45:22,4601,8178.0
2019-05-13 08:45:22,4702,25695.0
2019-05-13 08:45:22,4801,25695.0
2019-05-13 08:45:22,4901,20685.0
2019-05-13 08:45:22,5001,20685.0
2019-05-13 08:45:22,5101,11051.0
